EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 18-04-2023
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TX   : Maximum temperature in 0.1 &#176;C
30-34 Q_TX : quality code for TX (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station AKUREYRI, ICELAND (STAID: 2943)
Blended and updated with sources:75821 904063 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   TX, Q_TX
  2943, 75821,19490531,   30,    0
  2943, 75821,19490601,   50,    0
  2943, 75821,19490602,   90,    0
  2943, 75821,19490603,   90,    0
  2943, 75821,19490604,  110,    0
  2943, 75821,19490605,  115,    0
  2943, 75821,19490606,   55,    0
  2943, 75821,19490607,   50,    0
  2943, 75821,19490608,   70,    0
  2943, 75821,19490609,  114,    0
  2943, 75821,19490610,  110,    0
  2943, 75821,19490611,  130,    0
  2943, 75821,19490612,  130,    0
  2943, 75821,19490613,   75,    0
  2943, 75821,19490614,   90,    0
  2943, 75821,19490615,  166,    0
  2943, 75821,19490616,  146,    0
  2943, 75821,19490617,  148,    0
  2943, 75821,19490618,  194,    0
  2943, 75821,19490619,  220,    0
  2943, 75821,19490620,  220,    0
  2943, 75821,19490621,  230,    0
  2943, 75821,19490622,  220,    0
  2943, 75821,19490623,  200,    0
  2943, 75821,19490624,  173,    0
  2943, 75821,19490625,  190,    0
  2943, 75821,19490626,  200,    0
  2943, 75821,19490627,  190,    0
  2943, 75821,19490628,  195,    0
  2943, 75821,19490629,  170,    0
  2943, 75821,19490630,  184,    0
  2943, 75821,19490701,  210,    0
  2943, 75821,19490702,  175,    0
  2943, 75821,19490703,  165,    0
  2943, 75821,19490704,  120,    0
  2943, 75821,19490705,  160,    0
  2943, 75821,19490706,  210,    0
  2943, 75821,19490707,  235,    0
  2943, 75821,19490708,  230,    0
  2943, 75821,19490709,  194,    0
  2943, 75821,19490710,  175,    0
  2943, 75821,19490711,  165,    0
  2943, 75821,19490712,  125,    0
  2943, 75821,19490713,  125,    0
  2943, 75821,19490714,  145,    0
  2943, 75821,19490715,  135,    0
  2943, 75821,19490716,  115,    0
  2943, 75821,19490717,  116,    0
  2943, 75821,19490718,  130,    0
  2943, 75821,19490719,  200,    0
  2943, 75821,19490720,  190,    0
  2943, 75821,19490721,  160,    0
  2943, 75821,19490722,  170,    0
  2943, 75821,19490723,  168,    0
  2943, 75821,19490724,  130,    0
  2943, 75821,19490725,  150,    0
  2943, 75821,19490726,  180,    0
  2943, 75821,19490727,  155,    0
  2943, 75821,19490728,  135,    0
  2943, 75821,19490729,  150,    0
  2943, 75821,19490730,  120,    0
  2943, 75821,19490731,  110,    0
  2943, 75821,19490801,  110,    0
  2943, 75821,19490802,   87,    0
  2943, 75821,19490803,  105,    0
  2943, 75821,19490804,  105,    0
  2943, 75821,19490805,  125,    0
  2943, 75821,19490806,  112,    0
  2943, 75821,19490807,   85,    0
  2943, 75821,19490808,   90,    0
  2943, 75821,19490809,   85,    0
  2943, 75821,19490810,  130,    0
  2943, 75821,19490811,  170,    0
  2943, 75821,19490812,  168,    0
  2943, 75821,19490813,  150,    0
  2943, 75821,19490814,  100,    0
  2943, 75821,19490815,   98,    0
  2943, 75821,19490816,  102,    0
  2943, 75821,19490817,  137,    0
  2943, 75821,19490818,  148,    0
  2943, 75821,19490819,  176,    0
  2943, 75821,19490820,  165,    0
  2943, 75821,19490821,  112,    0
  2943, 75821,19490822,  128,    0
  2943, 75821,19490823,  150,    0
  2943, 75821,19490824,  174,    0
  2943, 75821,19490825,  184,    0
  2943, 75821,19490826,  176,    0
  2943, 75821,19490827,  185,    0
  2943, 75821,19490828,  165,    0
  2943, 75821,19490829,  106,    0
  2943, 75821,19490830,  100,    0
  2943, 75821,19490831,   90,    0
  2943, 75821,19490901,  155,    0
  2943, 75821,19490902,  155,    0
  2943, 75821,19490903,   95,    0
  2943, 75821,19490904,   92,    0
  2943, 75821,19490905,   95,    0
  2943, 75821,19490906,  104,    0
  2943, 75821,19490907,  105,    0
  2943, 75821,19490908,   95,    0
  2943, 75821,19490909,  122,    0
  2943, 75821,19490910,  150,    0
  2943, 75821,19490911,  145,    0
  2943, 75821,19490912,  214,    0
  2943, 75821,19490913,  175,    0
  2943, 75821,19490914,  115,    0
  2943, 75821,19490915,  135,    0
  2943, 75821,19490916,  134,    0
  2943, 75821,19490917,  115,    0
  2943, 75821,19490918,  116,    0
  2943, 75821,19490919,  166,    0
  2943, 75821,19490920,  165,    0
  2943, 75821,19490921,  195,    0
  2943, 75821,19490922,  163,    0
  2943, 75821,19490923,  165,    0
  2943, 75821,19490924,  156,    0
  2943, 75821,19490925,  140,    0
  2943, 75821,19490926,  146,    0
  2943, 75821,19490927,  130,    0
  2943, 75821,19490928,  115,    0
  2943, 75821,19490929,   90,    0
  2943, 75821,19490930,   50,    0
  2943, 75821,19491001,   90,    0
  2943, 75821,19491002,   95,    0
  2943, 75821,19491003,   50,    0
  2943, 75821,19491004,   65,    0
  2943, 75821,19491005,   65,    0
  2943, 75821,19491006,  108,    0
  2943, 75821,19491007,   91,    0
  2943, 75821,19491008,   88,    0
  2943, 75821,19491009,   78,    0
  2943, 75821,19491010,   95,    0
  2943, 75821,19491011,  110,    0
  2943, 75821,19491012,  126,    0
  2943, 75821,19491013,  110,    0
  2943, 75821,19491014,  100,    0
  2943, 75821,19491015,  108,    0
  2943, 75821,19491016,  105,    0
  2943, 75821,19491017,   10,    0
  2943, 75821,19491018,   30,    0
